,Drehzahl,Druchmesser oben,Druchmesser unten
1,3.0277777777777777,8742.0,6517.5
2,3.1666666666666665,8741.0,6516.25
3,3.083333333333333,8739.0,6516.25
4,3.083333333333333,8738.0,6516.25
5,3.138888888888889,8738.0,6517.5
6,3.1111111111111107,8737.0,6517.5
7,3.1111111111111107,8736.0,6516.25
8,3.1111111111111107,8737.0,6516.25
9,3.138888888888889,8737.0,6515.0
10,3.138888888888889,8735.0,6515.0
11,3.1111111111111107,8734.0,6512.5
12,3.222222222222222,8734.0,6511.25
13,3.138888888888889,8734.0,6510.0
14,3.1666666666666665,8731.0,6510.0
15,3.1666666666666665,8732.0,6510.0
16,3.222222222222222,8731.0,6510.0
17,3.083333333333333,8730.0,6511.25
18,3.138888888888889,8730.0,6512.5
19,3.138888888888889,8730.0,6513.75
20,3.083333333333333,8730.0,6515.0
21,3.083333333333333,8731.0,6515.0
22,3.25,8730.0,6515.0
23,3.1111111111111107,8729.0,6516.25
24,3.222222222222222,8728.0,6515.0
25,3.3611111111111107,8729.0,6515.0
26,3.083333333333333,8730.0,6513.75
27,3.6666666666666665,8730.0,6512.5
28,3.083333333333333,8729.0,6512.5
29,3.0555555555555554,8730.0,6512.5
30,3.083333333333333,8730.0,6510.0
31,3.0555555555555554,8729.0,6508.75
32,3.083333333333333,8729.0,6507.5
33,3.0277777777777777,8729.0,6506.25
34,3.0277777777777777,8730.0,6505.0
35,3.0555555555555554,8730.0,6502.5
36,3.0555555555555554,8730.0,6502.5
37,3.0277777777777777,8729.0,6501.25
38,3.1111111111111107,8730.0,6500.0
39,3.0277777777777777,8728.0,6500.0
40,3.0555555555555554,8727.0,6500.0
41,3.0277777777777777,8727.0,6500.0
42,3.083333333333333,8726.0,6498.75
43,3.0277777777777777,8726.0,6497.5
44,3.0555555555555554,8727.0,6497.5
45,3.083333333333333,8727.0,6497.5
46,3.083333333333333,8726.0,6497.5
47,3.0,8725.0,6497.5
48,3.0277777777777777,8724.0,6496.25
49,3.0277777777777777,8723.0,6495.0
50,3.0,8723.0,6495.0
51,3.0277777777777777,8724.0,6495.0
52,3.0555555555555554,8724.0,6495.0
53,2.972222222222222,8723.0,6495.0
54,3.0,8721.0,6497.5
55,3.0277777777777777,8721.0,6498.75
56,2.972222222222222,8720.0,6498.75
57,2.944444444444444,8720.0,6500.0
58,3.083333333333333,8720.0,6500.0
59,3.0,8719.0,6500.0
60,2.972222222222222,8716.0,6498.75
61,3.0,8714.0,6498.75
62,3.083333333333333,8715.0,6497.5
63,2.972222222222222,8714.0,6497.5
64,3.0277777777777777,8713.0,6497.5
65,3.0277777777777777,8712.0,6497.5
66,2.972222222222222,8711.0,6498.75
67,2.9166666666666665,8711.0,6500.0
68,3.0277777777777777,8711.0,6500.0
69,3.0,8711.0,6500.0
70,2.944444444444444,8711.0,6498.75
71,3.0277777777777777,8712.0,6497.5
72,3.0277777777777777,8714.0,6497.5
73,2.972222222222222,8714.0,6495.0
74,3.0555555555555554,8713.0,6495.0
75,3.1111111111111107,8713.0,6495.0
76,3.0555555555555554,8712.0,6495.0
77,3.0555555555555554,8712.0,6495.0
78,3.138888888888889,8713.0,6495.0
79,3.083333333333333,8711.0,6496.25
80,3.0555555555555554,8711.0,6495.0
81,3.138888888888889,8712.0,6495.0
82,3.083333333333333,8713.0,6495.0
83,3.0277777777777777,8712.0,6495.0
84,3.0555555555555554,8712.0,6493.75
85,3.083333333333333,8712.0,6492.5
86,3.0,8712.0,6492.5
87,3.083333333333333,8712.0,6491.25
88,3.083333333333333,8712.0,6488.75
89,3.0,8712.0,6488.75
90,3.0277777777777777,8710.0,6488.75
91,3.083333333333333,8710.0,6488.75
92,3.083333333333333,8711.0,6488.75
93,3.0,8709.0,6488.75
94,3.083333333333333,8708.0,6488.75
95,3.0277777777777777,8708.0,6486.25
96,3.0277777777777777,8707.0,6481.25
97,3.083333333333333,8706.0,6478.75
98,3.083333333333333,8706.0,6476.25
99,3.0555555555555554,8706.0,6475.0
100,3.0555555555555554,8706.0,6475.0
101,3.138888888888889,8706.0,6476.25
102,3.083333333333333,8707.0,6477.5
103,3.1111111111111107,8707.0,6478.75
104,3.138888888888889,8709.0,6480.0
105,3.1111111111111107,8709.0,6480.0
106,3.138888888888889,8710.0,6478.75
107,3.083333333333333,8710.0,6478.75
108,3.194444444444444,8709.0,6478.75
109,3.1111111111111107,8711.0,6478.75
110,3.083333333333333,8712.0,6478.75
111,3.1111111111111107,8714.0,6478.75
112,3.083333333333333,8714.0,6477.5
113,3.083333333333333,8714.0,6477.5
114,3.1666666666666665,8714.0,6475.0
115,3.138888888888889,8713.0,6473.75
116,3.138888888888889,8713.0,6473.75
117,3.138888888888889,8713.0,6472.5
118,3.1111111111111107,8714.0,6472.5
119,3.1111111111111107,8713.0,6472.5
120,3.0555555555555554,8714.0,6472.5
121,3.138888888888889,8714.0,6473.75
122,3.083333333333333,8714.0,6473.75
123,3.0555555555555554,8714.0,6473.75
124,3.1666666666666665,8714.0,6475.0
125,3.1111111111111107,8714.0,6476.25
126,3.083333333333333,8715.0,6476.25
127,3.083333333333333,8715.0,6477.5
128,3.1666666666666665,8715.0,6478.75
129,3.0555555555555554,8714.0,6478.75
130,3.138888888888889,8714.0,6481.25
131,3.138888888888889,8714.0,6483.75
132,3.0555555555555554,8714.0,6486.25
133,3.1111111111111107,8714.0,6487.5
134,3.138888888888889,8715.0,6490.0
135,3.138888888888889,8715.0,6492.5
136,3.0277777777777777,8715.0,6493.75
137,3.1666666666666665,8715.0,6493.75
138,3.1111111111111107,8715.0,6495.0
139,3.0555555555555554,8715.0,6493.75
140,3.138888888888889,8715.0,6493.75
141,3.1666666666666665,8715.0,6492.5
142,3.083333333333333,8715.0,6492.5
143,3.1111111111111107,8715.0,6491.25
144,3.3055555555555554,8715.0,6491.25
145,3.138888888888889,8715.0,6488.75
146,3.1666666666666665,8714.0,6488.75
147,3.25,8715.0,6488.75
148,3.138888888888889,8713.0,6488.75
149,3.1666666666666665,8714.0,6488.75
150,3.138888888888889,8715.0,6488.75
151,3.1111111111111107,8714.0,6488.75
152,3.0555555555555554,8714.0,6488.75
153,3.1111111111111107,8714.0,6488.75
154,3.138888888888889,8712.0,6487.5
155,4.111111111111111,8713.0,6487.5
156,3.0555555555555554,8712.0,6486.25
157,3.1111111111111107,8712.0,6486.25
158,3.0555555555555554,8714.0,6486.25
159,3.0277777777777777,8713.0,6486.25
160,3.083333333333333,8711.0,6487.5
161,3.0555555555555554,8712.0,6487.5
162,3.0555555555555554,8712.0,6488.75
163,3.0555555555555554,8712.0,6488.75
164,3.083333333333333,8714.0,6490.0
165,3.0277777777777777,8714.0,6490.0
166,3.0555555555555554,8713.0,6491.25
167,3.083333333333333,8714.0,6491.25
168,3.0555555555555554,8714.0,6491.25
169,3.0,8714.0,6490.0
170,3.1111111111111107,8714.0,6488.75
171,3.0555555555555554,8714.0,6486.25
172,3.0,8714.0,6486.25
173,3.0555555555555554,8714.0,6486.25
174,3.0555555555555554,8713.0,6486.25
175,3.0555555555555554,8712.0,6487.5
176,3.0555555555555554,8712.0,6488.75
177,3.083333333333333,8714.0,6488.75
178,3.0277777777777777,8713.0,6490.0
179,3.0277777777777777,8714.0,6488.75
180,3.0555555555555554,8715.0,6490.0
181,2.972222222222222,8712.0,6491.25
182,2.972222222222222,8712.0,6491.25
183,3.0277777777777777,8713.0,6491.25
184,2.972222222222222,8713.0,6491.25
185,2.972222222222222,8712.0,6492.5
186,3.0555555555555554,8713.0,6492.5
187,3.083333333333333,8713.0,6492.5
188,2.944444444444444,8713.0,6492.5
189,2.972222222222222,8714.0,6492.5
190,3.083333333333333,8714.0,6492.5
191,3.0277777777777777,8713.0,6493.75
192,2.972222222222222,8713.0,6493.75
193,3.083333333333333,8713.0,6493.75
194,2.972222222222222,8714.0,6493.75
195,3.083333333333333,8714.0,6492.5
196,2.972222222222222,8714.0,6491.25
197,2.944444444444444,8714.0,6490.0
198,2.888888888888889,8714.0,6488.75
199,3.0,8714.0,6487.5
200,3.0277777777777777,8713.0,6485.0
201,2.944444444444444,8713.0,6483.75
202,3.0,8712.0,6483.75
203,3.0555555555555554,8711.0,6483.75
204,3.0,8712.0,6483.75
205,3.0,8712.0,6485.0
206,3.138888888888889,8711.0,6485.0
207,3.083333333333333,8710.0,6485.0
208,3.0555555555555554,8709.0,6483.75
209,3.083333333333333,8709.0,6482.5
210,3.138888888888889,8709.0,6481.25
211,3.0555555555555554,8709.0,6480.0
212,3.083333333333333,8710.0,6478.75
213,3.138888888888889,8711.0,6478.75
214,3.0277777777777777,8711.0,6480.0
215,3.0555555555555554,8713.0,6481.25
216,3.1111111111111107,8711.0,6481.25
217,3.0277777777777777,8710.0,6481.25
218,3.0555555555555554,8709.0,6481.25
219,3.0277777777777777,8710.0,6481.25
220,3.0555555555555554,8713.0,6481.25
221,3.0,8714.0,6481.25
222,3.0555555555555554,8713.0,6481.25
223,3.083333333333333,8712.0,6481.25
224,2.972222222222222,8711.0,6481.25
225,3.0555555555555554,8710.0,6482.5
226,3.0555555555555554,8709.0,6482.5
227,3.0555555555555554,8707.0,6481.25
