,Drehzahl,Druchmesser oben,Druchmesser unten
2001,4.083333333333333,8502.0,6207.5
2002,4.138888888888888,8501.0,6206.25
2003,3.972222222222222,8501.0,6206.25
2004,4.083333333333333,8500.0,6206.25
2005,4.0,8499.0,6206.25
2006,4.055555555555555,8498.0,6206.25
2007,4.027777777777778,8496.0,6206.25
2008,4.0,8495.0,6203.75
2009,4.027777777777778,8495.0,6203.75
2010,4.0,8495.0,6201.25
2011,4.055555555555555,8495.0,6200.0
2012,4.027777777777778,8496.0,6198.75
2013,3.972222222222222,8495.0,6198.75
2014,4.083333333333333,8493.0,6197.5
2015,4.0,8491.0,6196.25
2016,4.055555555555555,8489.0,6196.25
2017,4.083333333333333,8490.0,6195.0
2018,4.027777777777778,8490.0,6193.75
2019,4.138888888888888,8490.0,6192.5
2020,4.027777777777778,8490.0,6191.25
2021,4.055555555555555,8491.0,6188.75
2022,4.111111111111111,8491.0,6187.5
2023,3.972222222222222,8491.0,6185.0
2024,4.111111111111111,8492.0,6183.75
2025,4.027777777777778,8494.0,6183.75
2026,4.083333333333333,8493.0,6182.5
2027,4.055555555555555,8495.0,6180.0
2028,4.027777777777778,8498.0,6180.0
2029,4.055555555555555,8498.0,6178.75
2030,4.083333333333333,8497.0,6177.5
2031,4.083333333333333,8499.0,6175.0
2032,4.0,8498.0,6175.0
2033,4.027777777777778,8498.0,6173.75
2034,4.055555555555555,8497.0,6173.75
2035,3.972222222222222,8497.0,6173.75
2036,4.027777777777778,8498.0,6173.75
2037,4.027777777777778,8497.0,6173.75
2038,3.972222222222222,8498.0,6173.75
2039,4.027777777777778,8499.0,6175.0
2040,3.972222222222222,8499.0,6175.0
2041,4.083333333333333,8497.0,6176.25
2042,4.0,8498.0,6175.0
2043,4.0,8496.0,6175.0
2044,4.055555555555555,8495.0,6173.75
2045,4.027777777777778,8494.0,6172.5
2046,4.083333333333333,8492.0,6171.25
2047,4.055555555555555,8491.0,6170.0
2048,4.0,8491.0,6168.75
2049,4.111111111111111,8491.0,6167.5
2050,4.111111111111111,8490.0,6167.5
2051,4.083333333333333,8490.0,6167.5
2052,4.055555555555555,8491.0,6167.5
2053,4.055555555555555,8491.0,6167.5
2054,4.027777777777778,8491.0,6170.0
2055,4.0,8491.0,6171.25
2056,4.111111111111111,8492.0,6172.5
2057,4.027777777777778,8493.0,6172.5
2058,4.027777777777778,8492.0,6172.5
2059,4.027777777777778,8491.0,6171.25
2060,4.0,8493.0,6170.0
2061,4.083333333333333,8494.0,6168.75
2062,4.111111111111111,8494.0,6167.5
2063,4.083333333333333,8495.0,6167.5
2064,4.083333333333333,8493.0,6166.25
2065,4.055555555555555,8491.0,6166.25
2066,4.083333333333333,8493.0,6166.25
2067,4.083333333333333,8492.0,6167.5
2068,4.055555555555555,8491.0,6167.5
2069,4.083333333333333,8491.0,6170.0
2070,4.083333333333333,8491.0,6171.25
2071,4.138888888888888,8491.0,6172.5
2072,4.027777777777778,8491.0,6172.5
2073,4.083333333333333,8491.0,6172.5
2074,4.138888888888888,8490.0,6171.25
2075,4.027777777777778,8489.0,6171.25
2076,4.194444444444445,8489.0,6170.0
2077,4.083333333333333,8488.0,6171.25
2078,4.083333333333333,8487.0,6172.5
2079,4.083333333333333,8489.0,6172.5
2080,4.055555555555555,8489.0,6172.5
2081,4.138888888888888,8489.0,6171.25
2082,4.083333333333333,8490.0,6168.75
2083,4.083333333333333,8489.0,6167.5
2084,4.111111111111111,8488.0,6163.75
2085,4.055555555555555,8488.0,6162.5
2086,4.111111111111111,8490.0,6161.25
2087,4.166666666666666,8490.0,6158.75
2088,4.027777777777778,8490.0,6158.75
2089,4.138888888888888,8491.0,6158.75
2090,4.027777777777778,8490.0,6160.0
2091,4.138888888888888,8491.0,6161.25
2092,4.027777777777778,8490.0,6162.5
2093,4.111111111111111,8491.0,6165.0
2094,4.138888888888888,8491.0,6167.5
2095,4.083333333333333,8491.0,6167.5
2096,4.055555555555555,8490.0,6167.5
2097,4.083333333333333,8490.0,6167.5
2098,4.138888888888888,8491.0,6167.5
2099,4.083333333333333,8491.0,6167.5
2100,4.027777777777778,8490.0,6168.75
2101,4.111111111111111,8490.0,6170.0
2102,4.055555555555555,8492.0,6171.25
2103,4.055555555555555,8493.0,6173.75
2104,4.083333333333333,8493.0,6175.0
2105,4.0,8493.0,6177.5
2106,4.055555555555555,8495.0,6177.5
2107,4.0,8495.0,6180.0
2108,4.055555555555555,8495.0,6180.0
2109,4.055555555555555,8495.0,6181.25
2110,4.0,8495.0,6181.25
