,Drehzahl,Druchmesser oben,Druchmesser unten
1,4.166666666666666,8539.0,6208.75
2,4.166666666666666,8538.0,6208.75
3,4.194444444444445,8538.0,6208.75
4,4.166666666666666,8538.0,6208.75
5,4.166666666666666,8538.0,6210.0
6,4.166666666666666,8541.0,6211.25
7,4.138888888888888,8540.0,6212.5
8,4.25,8537.0,6211.25
9,4.111111111111111,8537.0,6211.25
10,4.194444444444445,8538.0,6211.25
11,4.111111111111111,8538.0,6211.25
12,4.083333333333333,8538.0,6211.25
13,4.138888888888888,8538.0,6210.0
14,5.083333333333333,8541.0,6211.25
15,4.111111111111111,8542.0,6211.25
16,4.138888888888888,8541.0,6211.25
17,4.083333333333333,8541.0,6211.25
18,4.055555555555555,8543.0,6211.25
19,4.083333333333333,8543.0,6211.25
20,4.055555555555555,8543.0,6211.25
21,4.027777777777778,8542.0,6212.5
22,4.055555555555555,8542.0,6213.75
23,4.027777777777778,8540.0,6211.25
24,4.027777777777778,8538.0,6211.25
25,4.083333333333333,8537.0,6211.25
26,3.972222222222222,8538.0,6211.25
27,4.055555555555555,8537.0,6211.25
28,4.055555555555555,8536.0,6211.25
29,4.027777777777778,8536.0,6211.25
30,4.083333333333333,8536.0,6211.25
31,4.027777777777778,8535.0,6211.25
32,4.027777777777778,8534.0,6208.75
33,4.0,8533.0,6207.5
34,4.0,8532.0,6206.25
35,4.055555555555555,8532.0,6206.25
36,3.9166666666666665,8532.0,6203.75
37,4.055555555555555,8531.0,6203.75
38,3.9166666666666665,8528.0,6205.0
39,3.9166666666666665,8526.0,6206.25
40,4.0,8524.0,6206.25
41,3.9166666666666665,8524.0,6207.5
42,3.944444444444444,8525.0,6208.75
43,3.9166666666666665,8524.0,6208.75
44,3.972222222222222,8523.0,6208.75
45,4.0,8523.0,6208.75
46,3.9166666666666665,8524.0,6208.75
47,4.027777777777778,8524.0,6207.5
48,4.027777777777778,8523.0,6206.25
49,3.972222222222222,8523.0,6206.25
50,4.111111111111111,8524.0,6206.25
51,3.972222222222222,8524.0,6206.25
52,4.138888888888888,8525.0,6206.25
53,4.111111111111111,8526.0,6205.0
54,4.027777777777778,8526.0,6203.75
55,4.083333333333333,8527.0,6203.75
56,4.083333333333333,8529.0,6201.25
57,4.25,8529.0,6198.75
58,4.083333333333333,8527.0,6197.5
59,4.111111111111111,8525.0,6196.25
60,4.055555555555555,8524.0,6196.25
61,4.0,8523.0,6196.25
62,4.111111111111111,8524.0,6196.25
63,3.972222222222222,8525.0,6196.25
64,4.111111111111111,8524.0,6196.25
65,4.055555555555555,8524.0,6197.5
66,4.027777777777778,8524.0,6196.25
67,4.166666666666666,8522.0,6193.75
68,4.0,8521.0,6192.5
69,4.111111111111111,8521.0,6191.25
70,4.083333333333333,8522.0,6190.0
71,4.083333333333333,8521.0,6188.75
72,4.222222222222222,8518.0,6187.5
73,4.111111111111111,8515.0,6186.25
74,4.111111111111111,8513.0,6185.0
75,4.111111111111111,8513.0,6186.25
76,4.083333333333333,8512.0,6186.25
77,4.222222222222222,8512.0,6187.5
78,4.138888888888888,8510.0,6187.5
79,4.111111111111111,8509.0,6190.0
80,4.138888888888888,8507.0,6192.5
81,4.027777777777778,8505.0,6192.5
82,4.277777777777778,8505.0,6191.25
83,4.138888888888888,8504.0,6190.0
84,4.277777777777778,8504.0,6190.0
85,4.138888888888888,8503.0,6188.75
86,4.055555555555555,8501.0,6187.5
87,4.194444444444445,8502.0,6187.5
88,4.138888888888888,8502.0,6188.75
89,4.194444444444445,8502.0,6190.0
90,4.111111111111111,8501.0,6188.75
91,4.111111111111111,8501.0,6188.75
92,4.222222222222222,8504.0,6187.5
93,4.083333333333333,8504.0,6186.25
94,4.138888888888888,8504.0,6187.5
95,4.166666666666666,8504.0,6187.5
96,4.138888888888888,8504.0,6187.5
97,4.194444444444445,8505.0,6188.75
98,4.083333333333333,8505.0,6190.0
99,4.166666666666666,8504.0,6191.25
100,4.138888888888888,8504.0,6191.25
101,4.111111111111111,8502.0,6191.25
102,4.222222222222222,8503.0,6190.0
103,4.138888888888888,8504.0,6188.75
104,4.222222222222222,8504.0,6186.25
105,4.166666666666666,8504.0,6182.5
106,4.111111111111111,8504.0,6180.0
107,4.25,8506.0,6180.0
108,4.138888888888888,8506.0,6180.0
109,4.166666666666666,8506.0,6181.25
111,4.083333333333333,8503.0,6183.75
112,4.055555555555555,8502.0,6185.0
113,4.055555555555555,8501.0,6185.0
114,4.138888888888888,8499.0,6182.5
115,4.305555555555555,8497.0,6181.25
116,4.055555555555555,8497.0,6180.0
117,4.055555555555555,8496.0,6180.0
118,4.027777777777778,8497.0,6178.75
119,4.083333333333333,8498.0,6178.75
120,4.0,8497.0,6178.75
121,4.083333333333333,8495.0,6180.0
122,4.055555555555555,8495.0,6180.0
123,4.027777777777778,8496.0,6180.0
124,4.083333333333333,8496.0,6180.0
125,4.027777777777778,8496.0,6180.0
126,4.083333333333333,8495.0,6180.0
127,4.055555555555555,8493.0,6180.0
128,4.027777777777778,8493.0,6180.0
129,4.083333333333333,8491.0,6180.0
130,4.0,8492.0,6180.0
131,4.055555555555555,8491.0,6181.25
132,4.0,8491.0,6182.5
133,3.972222222222222,8490.0,6182.5
134,4.0,8490.0,6183.75
135,3.972222222222222,8490.0,6183.75
136,4.027777777777778,8491.0,6182.5
137,3.888888888888889,8491.0,6182.5
138,4.055555555555555,8491.0,6180.0
139,3.888888888888889,8491.0,6178.75
140,3.944444444444444,8491.0,6177.5
141,3.944444444444444,8491.0,6177.5
142,3.944444444444444,8493.0,6176.25
143,3.9166666666666665,8493.0,6175.0
144,4.0,8492.0,6175.0
145,3.9166666666666665,8491.0,6175.0
146,4.027777777777778,8491.0,6175.0
147,4.027777777777778,8490.0,6172.5
148,3.944444444444444,8491.0,6172.5
149,4.111111111111111,8491.0,6171.25
150,3.972222222222222,8491.0,6170.0
151,4.166666666666666,8491.0,6170.0
152,4.055555555555555,8491.0,6168.75
153,4.027777777777778,8492.0,6170.0
154,4.166666666666666,8493.0,6170.0
155,4.083333333333333,8492.0,6170.0
156,4.138888888888888,8491.0,6172.5
157,4.333333333333333,8490.0,6171.25
158,4.083333333333333,8491.0,6170.0
159,4.055555555555555,8491.0,6168.75
160,4.027777777777778,8490.0,6166.25
161,4.083333333333333,8489.0,6163.75
162,4.055555555555555,8490.0,6162.5
163,4.027777777777778,8490.0,6161.25
164,4.083333333333333,8490.0,6161.25
165,4.027777777777778,8490.0,6161.25
166,4.083333333333333,8489.0,6163.75
167,4.055555555555555,8490.0,6165.0
168,4.083333333333333,8490.0,6167.5
169,4.111111111111111,8490.0,6168.75
170,4.111111111111111,8488.0,6170.0
171,4.222222222222222,8487.0,6170.0
172,4.111111111111111,8488.0,6170.0
173,4.055555555555555,8487.0,6167.5
174,4.083333333333333,8486.0,6165.0
175,4.111111111111111,8487.0,6162.5
176,4.194444444444445,8487.0,6158.75
177,4.194444444444445,8486.0,6156.25
178,4.083333333333333,8487.0,6155.0
179,4.194444444444445,8489.0,6153.75
180,4.027777777777778,8488.0,6156.25
181,4.222222222222222,8488.0,6157.5
182,4.111111111111111,8487.0,6160.0
183,4.277777777777778,8485.0,6163.75
184,4.111111111111111,8487.0,6168.75
185,4.083333333333333,8487.0,6172.5
186,4.222222222222222,8487.0,6173.75
187,4.138888888888888,8487.0,6175.0
188,4.166666666666666,8487.0,6173.75
189,4.166666666666666,8487.0,6173.75
190,4.083333333333333,8487.0,6173.75
191,4.25,8487.0,6172.5
192,4.083333333333333,8487.0,6172.5
193,4.166666666666666,8485.0,6171.25
194,4.138888888888888,8483.0,6170.0
195,4.138888888888888,8483.0,6170.0
196,4.194444444444445,8484.0,6168.75
197,4.083333333333333,8485.0,6166.25
198,4.194444444444445,8487.0,6163.75
199,4.138888888888888,8488.0,6160.0
200,4.111111111111111,8486.0,6155.0
201,4.222222222222222,8485.0,6151.25
202,4.166666666666666,8485.0,6147.5
203,4.194444444444445,8487.0,6145.0
204,4.138888888888888,8487.0,6145.0
205,4.138888888888888,8485.0,6145.0
206,4.222222222222222,8486.0,6146.25
207,4.138888888888888,8486.0,6148.75
208,4.305555555555555,8486.0,6151.25
209,4.777777777777778,8486.0,6151.25
210,4.055555555555555,8487.0,6151.25
211,4.138888888888888,8487.0,6151.25
212,4.361111111111111,8486.0,6150.0
213,4.111111111111111,8487.0,6150.0
214,4.055555555555555,8489.0,6148.75
215,4.055555555555555,8490.0,6148.75
216,4.111111111111111,8490.0,6148.75
217,4.055555555555555,8491.0,6151.25
218,4.111111111111111,8491.0,6151.25
219,4.027777777777778,8494.0,6151.25
220,4.083333333333333,8494.0,6152.5
221,4.055555555555555,8495.0,6153.75
222,4.111111111111111,8498.0,6153.75
223,4.083333333333333,8499.0,6153.75
224,4.027777777777778,8499.0,6153.75
225,4.027777777777778,8499.0,6153.75
226,4.055555555555555,8500.0,6153.75
227,4.055555555555555,8502.0,6153.75
228,4.083333333333333,8503.0,6153.75
229,3.972222222222222,8505.0,6153.75
230,4.111111111111111,8506.0,6155.0
231,3.972222222222222,8505.0,6155.0
232,3.972222222222222,8507.0,6157.5
233,4.027777777777778,8509.0,6160.0
234,3.9166666666666665,8510.0,6161.25
235,4.027777777777778,8510.0,6163.75
236,3.944444444444444,8510.0,6166.25
237,3.944444444444444,8512.0,6166.25
238,3.944444444444444,8513.0,6167.5
239,3.9166666666666665,8513.0,6166.25
240,4.027777777777778,8513.0,6166.25
241,3.8611111111111107,8515.0,6166.25
242,3.888888888888889,8515.0,6166.25
243,4.0,8516.0,6167.5
244,3.888888888888889,8518.0,6170.0
245,4.0,8517.0,6171.25
246,4.027777777777778,8518.0,6172.5
247,4.027777777777778,8519.0,6173.75
248,4.111111111111111,8519.0,6173.75
249,4.0,8522.0,6173.75
250,4.111111111111111,8523.0,6172.5
251,4.138888888888888,8523.0,6172.5
252,4.055555555555555,8523.0,6172.5
253,4.194444444444445,8523.0,6172.5
254,4.0,8522.0,6173.75
255,4.194444444444445,8523.0,6175.0
256,4.25,8524.0,6175.0
257,4.111111111111111,8525.0,6173.75
258,4.027777777777778,8529.0,6172.5
259,4.0,8530.0,6172.5
260,4.111111111111111,8530.0,6172.5
261,3.972222222222222,8531.0,6172.5
262,4.083333333333333,8532.0,6175.0
263,4.083333333333333,8534.0,6180.0
264,4.055555555555555,8534.0,6182.5
265,4.111111111111111,8532.0,6186.25
266,3.972222222222222,8532.0,6188.75
267,4.083333333333333,8534.0,6191.25
268,4.083333333333333,8534.0,6191.25
269,4.111111111111111,8535.0,6190.0
270,4.222222222222222,8536.0,6187.5
271,4.055555555555555,8536.0,6187.5
272,4.111111111111111,8537.0,6187.5
273,4.166666666666666,8537.0,6187.5
274,4.027777777777778,8536.0,6187.5
275,4.194444444444445,8537.0,6190.0
276,4.138888888888888,8538.0,6192.5
277,4.055555555555555,8538.0,6196.25
278,4.222222222222222,8540.0,6198.75
279,4.111111111111111,8540.0,6200.0
280,4.166666666666666,8538.0,6200.0
281,4.138888888888888,8540.0,6201.25
282,4.25,8542.0,6200.0
283,4.166666666666666,8542.0,6198.75
284,4.166666666666666,8542.0,6197.5
285,4.166666666666666,8541.0,6196.25
286,4.138888888888888,8541.0,6196.25
287,4.166666666666666,8543.0,6197.5
288,4.138888888888888,8545.0,6197.5
289,4.111111111111111,8543.0,6198.75
290,4.222222222222222,8542.0,6200.0
291,4.138888888888888,8543.0,6201.25
292,4.111111111111111,8543.0,6202.5
293,4.138888888888888,8543.0,6203.75
294,4.166666666666666,8542.0,6203.75
295,4.194444444444445,8542.0,6203.75
296,4.111111111111111,8541.0,6206.25
297,4.138888888888888,8542.0,6206.25
298,4.166666666666666,8542.0,6206.25
299,4.111111111111111,8542.0,6207.5
300,4.194444444444445,8542.0,6208.75
301,4.166666666666666,8541.0,6207.5
302,4.194444444444445,8539.0,6207.5
303,4.138888888888888,8538.0,6207.5
304,4.138888888888888,8538.0,6207.5
305,4.222222222222222,8538.0,6208.75
306,4.055555555555555,8538.0,6210.0
307,4.25,8541.0,6211.25
308,4.666666666666666,8541.0,6212.5
309,4.083333333333333,8542.0,6213.75
310,4.472222222222222,8545.0,6213.75
311,4.083333333333333,8545.0,6213.75
312,4.194444444444445,8544.0,6213.75
313,4.083333333333333,8545.0,6213.75
314,4.111111111111111,8545.0,6213.75
315,4.111111111111111,8546.0,6213.75
316,4.027777777777778,8546.0,6213.75
317,4.111111111111111,8546.0,6213.75
318,4.027777777777778,8546.0,6215.0
319,4.083333333333333,8546.0,6216.25
320,4.027777777777778,8546.0,6216.25
321,4.055555555555555,8546.0,6216.25
322,4.083333333333333,8546.0,6216.25
323,4.027777777777778,8547.0,6215.0
324,4.055555555555555,8549.0,6215.0
325,4.055555555555555,8549.0,6215.0
326,4.027777777777778,8548.0,6215.0
327,4.083333333333333,8548.0,6213.75
328,4.027777777777778,8548.0,6213.75
329,4.055555555555555,8547.0,6216.25
330,3.944444444444444,8546.0,6218.75
331,3.972222222222222,8546.0,6218.75
332,4.083333333333333,8546.0,6217.5
333,3.888888888888889,8546.0,6217.5
334,4.027777777777778,8546.0,6217.5
335,3.9166666666666665,8546.0,6216.25
336,3.9166666666666665,8546.0,6213.75
337,3.944444444444444,8545.0,6212.5
338,3.9166666666666665,8544.0,6213.75
339,4.027777777777778,8543.0,6215.0
340,3.888888888888889,8540.0,6216.25
341,3.944444444444444,8538.0,6218.75
342,3.972222222222222,8538.0,6221.25
343,3.9166666666666665,8537.0,6222.5
344,4.027777777777778,8536.0,6223.75
345,4.0,8535.0,6222.5
346,4.0,8535.0,6223.75
347,4.111111111111111,8534.0,6223.75
348,4.055555555555555,8536.0,6222.5
349,4.083333333333333,8535.0,6222.5
350,4.055555555555555,8534.0,6220.0
351,4.083333333333333,8534.0,6218.75
352,4.194444444444445,8535.0,6216.25
353,4.055555555555555,8535.0,6213.75
354,4.138888888888888,8534.0,6212.5
355,4.222222222222222,8535.0,6211.25
356,4.083333333333333,8535.0,6212.5
357,4.055555555555555,8534.0,6213.75
358,4.0,8534.0,6216.25
359,4.083333333333333,8534.0,6217.5
360,4.0,8533.0,6218.75
361,4.083333333333333,8534.0,6221.25
362,4.083333333333333,8535.0,6221.25
363,4.027777777777778,8535.0,6221.25
364,4.083333333333333,8533.0,6221.25
365,4.027777777777778,8533.0,6220.0
366,4.055555555555555,8532.0,6218.75
367,4.111111111111111,8529.0,6217.5
368,4.027777777777778,8531.0,6216.25
369,4.25,8532.0,6216.25
370,4.027777777777778,8532.0,6216.25
371,4.138888888888888,8529.0,6216.25
372,4.166666666666666,8527.0,6215.0
373,4.166666666666666,8527.0,6213.75
374,4.138888888888888,8526.0,6211.25
375,4.083333333333333,8527.0,6210.0
376,4.111111111111111,8526.0,6207.5
377,4.222222222222222,8524.0,6205.0
378,4.166666666666666,8523.0,6202.5
379,4.138888888888888,8523.0,6201.25
380,4.138888888888888,8523.0,6200.0
381,4.166666666666666,8521.0,6200.0
382,4.222222222222222,8521.0,6200.0
383,4.055555555555555,8521.0,6201.25
384,4.194444444444445,8519.0,6201.25
385,4.138888888888888,8518.0,6201.25
386,4.111111111111111,8516.0,6201.25
387,4.166666666666666,8514.0,6200.0
388,4.138888888888888,8514.0,6200.0
389,4.305555555555555,8513.0,6198.75
390,4.055555555555555,8512.0,6198.75
391,4.138888888888888,8511.0,6198.75
